filename,FLOPs,Unit
AlbumDatabaseBuilder.java,441.917G,85.132M
ArtistBuilder.java,202.741G,85.132M
DownloadJobBuilder.java,437.246G,85.132M
LicenseBuilder.java,133.604G,85.132M
PlaylistBuilder.java,142.947G,85.132M
RadioBuilder.java,145.750G,85.132M
RadioDatabaseBuilder.java,307.381G,85.132M
ReviewBuilder.java,227.967G,85.132M
TrackBuilder.java,251.324G,85.132M
TrackDatabaseBuilder.java,547.491G,85.132M
MimeMessageCopyOnWriteProxy.java,2.760T,85.132M
ExecutionHandlerSingleton.java,122.393G,85.132M
TCPPipelineFactory.java,394.269G,85.132M
UDPChannelPipelineFactory.java,466.208G,85.132M
UDPPipelineFactory.java,313.921G,85.132M
IMemento.java,38.308G,85.132M
IObserver.java,21.491G,85.132M
ISubject.java,41.111G,85.132M
Proxy.java,15.885G,85.132M
ProxyObject.java,27.096G,85.132M
ScopedClassPoolFactory.java,63.533G,85.132M
ScopedClassPoolFactoryImpl.java,111.182G,85.132M
MySQLRegistrationDAOFactory.java,41.111G,85.132M
OracleRegistrationDAOFactory.java,41.111G,85.132M
RegistrationDAOAbstractFactory.java,78.482G,85.132M
RegistrationDAOFactory.java,17.754G,85.132M
AbstractSteps.java,43.913G,85.132M
AbstractStepsFactory.java,553.097G,85.132M
AnnotatedEmbedderUsingGuice.java,1.059T,85.132M
AnnotatedEmbedderUsingGuiceAndSteps.java,516.660G,85.132M
AnnotatedEmbedderUsingPico.java,1.046T,85.132M
AnnotatedEmbedderUsingPicoAndSteps.java,537.214G,85.132M
AnnotatedEmbedderUsingSpring.java,343.818G,85.132M
AnnotatedEmbedderUsingSpringAndSteps.java,506.383G,85.132M
AnnotatedEmbedderUsingSpringNamespace.java,346.620G,85.132M
AnnotationBuilder.java,3.147T,85.132M
AuthenticationPolicyBuilder.java,197.135G,85.132M
AuthenticationSteps.java,620.365G,85.132M
BeforeAfterSteps.java,1.345T,85.132M
CalendarConverter.java,225.164G,85.132M
CalendarSteps.java,214.887G,85.132M
CompositeNestedSteps.java,269.075G,85.132M
CompositeSteps.java,323.263G,85.132M
CompositeStepsFactory.java,246.652G,85.132M
DbUnitSteps.java,211.150G,85.132M
Embedder.java,4.391T,85.132M
EmbedderMonitorDecorator.java,45.782G,85.132M
ExecutorServiceFactory.java,45.782G,85.132M
FailingAfterStories.java,254.127G,85.132M
FailingBeforeAfterSteps.java,255.995G,85.132M
FailingBeforeStories.java,254.127G,85.132M
FilePrintStreamFactory.java,1.131T,85.132M
FixedThreadExecutors.java,83.153G,85.132M
GroovyAnnotationBuilder.java,631.576G,85.132M
GroovyAnnotationBuilderBehaviour.java,773.587G,85.132M
GroovyStepsFactory.java,218.624G,85.132M
GuiceAnnotationBuilder.java,1.300T,85.132M
GuiceAnnotationBuilderBehaviour.java,3.441T,85.132M
GuiceStepsFactory.java,492.368G,85.132M
InheritingAnnotatedEmbedderUsingSteps.java,327.935G,85.132M
InjectableStepsFactory.java,39.242G,85.132M
InstanceStepsFactory.java,255.061G,85.132M
MetaParametrisationSteps.java,284.024G,85.132M
NamedParametersSteps.java,284.024G,85.132M
OrganizationSteps.java,526.937G,85.132M
ParameterDelimiters.java,108.039G,85.132M
ParameterDelimitersSteps.java,137.597G,85.132M
ParametrisationByDelimitedName.java,275.191G,85.132M
ParametrisationByDelimitedNameSteps.java,559.552G,85.132M
ParametrisedSteps.java,171.231G,85.132M
ParentAnnotatedEmbedderUsingPico.java,367.939G,85.132M
PatternVariantBuilder.java,595.224G,85.132M
PendingSteps.java,166.135G,85.132M
PicoAnnotationBuilder.java,1.044T,85.132M
PicoAnnotationBuilderBehaviour.java,2.898T,85.132M
PicoStepsFactory.java,303.729G,85.132M
PrintStreamFactory.java,27.521G,85.132M
PriorityMatchingSteps.java,197.730G,85.132M
ProvidedStepsFactory.java,276.210G,85.132M
SandpitSteps.java,128.424G,85.132M
ScalaStepsFactory.java,248.691G,85.132M
SearchSteps.java,289.460G,85.132M
SilentSuccessFilter.java,1.606T,85.132M
SkipBeforeAndAfterScenarioStepsIfGivenStory.java,118.231G,85.132M
SkipScenariosAfterFailure.java,123.327G,85.132M
SpringAnnotationBuilder.java,1.086T,85.132M
SpringApplicationContextFactory.java,505.533G,85.132M
SpringStepsFactory.java,492.284G,85.132M
SpringStoryReporterBuilder.java,572.802G,85.132M
SpringStoryReporterBuilderBehaviour.java,562.610G,85.132M
StackTraceFormatter.java,2.206T,85.132M
StepdocReporter.java,83.578G,85.132M
StepFailureDecoratorBehaviour.java,1.212T,85.132M
Stock.java,272.133G,85.132M
StoryReporterBuilder.java,1.928T,85.132M
ThreadsSteps.java,328.190G,85.132M
ThreadsStories.java,857.163G,85.132M
Trader.java,382.208G,85.132M
TraderConverter.java,218.115G,85.132M
TraderPersister.java,128.424G,85.132M
TraderSteps.java,2.231T,85.132M
TradingService.java,106.001G,85.132M
User.java,801.106G,85.132M
UserBuilder.java,351.632G,85.132M
WeldAnnotationBuilder.java,482.091G,85.132M
WeldAnnotationBuilderBehaviour.java,2.145T,85.132M
WeldStepsFactory.java,346.536G,85.132M
SingletonAEjbHandler.java,130.462G,85.132M
Observer.java,19.367G,85.132M
FormFacade.java,3.544T,85.132M
WorkflowFacade.java,6.130T,85.132M
AbstractFactoryPattern.java,382.208G,85.132M
FactoryMethodPattern.java,327.171G,85.132M
ConcurrentModificationObserver.java,618.666G,85.132M
Prototype.java,2.985T,85.132M
Singleton.java,83.578G,85.132M
SingletonDemo.java,45.867G,85.132M
LayoutPrototype.java,340.420G,85.132M
LayoutPrototypeBaseImpl.java,124.347G,85.132M
LayoutPrototypeImpl.java,491.264G,85.132M
LayoutPrototypeLocalService.java,2.065T,85.132M
LayoutPrototypeLocalServiceWrapper.java,2.671T,85.132M
LayoutPrototypePermissionImpl.java,455.592G,85.132M
LayoutPrototypeWrapper.java,3.272T,85.132M
LayoutSetPrototypePermission.java,111.097G,85.132M
LayoutSetPrototypeWrapper.java,3.194T,85.132M
BTDiskManagerMementoImpl.java,317.998G,85.132M
BTDownloadMementoImpl.java,451.515G,85.132M
BTMetaInfoMementoImpl.java,815.375G,85.132M
ColorMemento.java,329.209G,85.132M
DownloadMemento.java,139.635G,85.132M
GnutellaDownloadMemento.java,192.634G,85.132M
GnutellaDownloadMementoImpl.java,771.549G,85.132M
InNetworkDownloadMemento.java,90.713G,85.132M
InNetworkDownloadMementoImpl.java,994.757G,85.132M
LibTorrentBTDownloadMementoImpl.java,1.124T,85.132M
MagnetDownloadMementoImpl.java,846.971G,85.132M
TorrentFileSystemMementoImpl.java,480.053G,85.132M
VirusDefinitionDownloadMemento.java,855.124G,85.132M
CarManualBuilder.java,397.497G,85.132M
Computer.java,177.346G,85.132M
Dialog.java,126.385G,85.132M
House.java,375.074G,85.132M
Meal.java,312.902G,85.132M
Person.java,253.787G,85.132M
ServiceProviderSingleton.java,104.982G,85.132M
String.java,321.055G,85.132M
TaskBuilder.java,286.402G,85.132M
P2Facade.java,70.328G,85.132M
P2FacadeImpl.java,2.080T,85.132M
DecoratorFactory.java,90.713G,85.132M
DecoratorFactoryImpl.java,546.302G,85.132M
DoubleTagDecorator.java,319.017G,85.132M
SingleTagDecorator.java,532.033G,85.132M
TagDecorator.java,1.494T,85.132M
TripleTagDecorator.java,337.363G,85.132M
ArtifactFactory.java,398.516G,85.132M
ArtifactRepositoryFactory.java,286.402G,85.132M
DefaultArtifactFactory.java,426.035G,85.132M
DefaultProjectBuilder.java,8.678T,85.132M
DefaultSettingsBuilder.java,1.205T,85.132M
DefaultToolchainsBuilder.java,376.518G,85.132M
LifecycleWeaveBuilder.java,3.785T,85.132M
MavenSettingsBuilder.java,267.207G,85.132M
ToolchainFactory.java,66.252G,85.132M
WebDriverFacade.java,342.289G,85.132M
ViewFactory.java,89.439G,85.132M
AA.java,422.892G,85.132M
Aluno.java,309.165G,85.132M
AlunoEstado.java,33.127G,85.132M
AlunoEstadoAtivo.java,70.668G,85.132M
AlunoEstadoFormado.java,80.606G,85.132M
AlunoEstadoTrancado.java,82.814G,85.132M
AlunoMemento.java,118.147G,85.132M
Bash.java,313.581G,85.132M
bs.java,437.246G,85.132M
CareTaker.java,119.251G,85.132M
CommandCenter.java,395.288G,85.132M
DiaryWriter.java,144.646G,85.132M
Editor.java,51.898G,85.132M
EditorState.java,161.209G,85.132M
F.java,443.871G,85.132M
History.java,123.667G,85.132M
K.java,490.245G,85.132M
Launcher.java,155.688G,85.132M
Main.java,302.540G,85.132M
Memento.java,144.646G,85.132M
MementoManagerCommand.java,425.101G,85.132M
Mementoo.java,60.731G,85.132M
MementoTransaction.java,216.416G,85.132M
MSEditor.java,298.123G,85.132M
Originator.java,123.667G,85.132M
PadraoMemento.java,325.727G,85.132M
State.java,17.669G,85.132M
Terminal.java,149.063G,85.132M
Test.java,527.787G,85.132M
User.java,326.831G,85.132M
Z.java,416.267G,85.132M
Wiki.java,423.996G,85.132M
coffe.java,290.394G,85.132M
Database.java,185.500G,85.132M
DatabaseC.java,199.854G,85.132M
DocExport.java,206.479G,85.132M
Document.java,250.645G,85.132M
Ecommerce.java,214.208G,85.132M
food.java,248.436G,85.132M
Game.java,203.166G,85.132M
GUI.java,491.350G,85.132M
Logger.java,207.583G,85.132M
Logging.java,225.249G,85.132M
Music.java,230.770G,85.132M
Next.java,205.375G,85.132M
Noitf.java,223.041G,85.132M
Notif.java,228.562G,85.132M
Payment.java,228.562G,85.132M
Report.java,188.812G,85.132M
SecurityTokenFactory.java,460.433G,85.132M
Shape.java,182.187G,85.132M
Shipping.java,219.729G,85.132M
SignatureAlgorithmFactory.java,353.331G,85.132M
Vehicle.java,280.457G,85.132M
Video.java,220.833G,85.132M
Voiture.java,230.770G,85.132M
wiki2.java,295.915G,85.132M
ImageTableObserver.java,464.850G,85.132M
ResourceFactory.java,76.189G,85.132M
SpringResourceFactoryFactory.java,354.435G,85.132M
Prototype.java,732.054G,85.132M
AuthorizableDecorator.java,624.952G,85.132M
BiobankDecorator.java,1.259T,85.132M
DataDecorator.java,1.050T,85.132M
DBIndexUpdateDecorator.java,302.540G,85.132M
FlowcellDecorator.java,400.809G,85.132M
IdentifiableDecorator.java,205.375G,85.132M
LibraryLaneDecorator.java,407.434G,85.132M
MeasurementDecorator.java,1.196T,85.132M
MolgenisFileDecorator.java,2.329T,85.132M
MolgenisUserDecorator.java,1.254T,85.132M
NameableDecorator.java,346.706G,85.132M
TaskDecorator.java,746.408G,85.132M
AuthorizableDecorator.java,624.952G,85.132M
BiobankDecorator.java,1.259T,85.132M
DataDecorator.java,1.050T,85.132M
DBIndexUpdateDecorator.java,302.540G,85.132M
FlowcellDecorator.java,400.809G,85.132M
IdentifiableDecorator.java,205.375G,85.132M
LibraryLaneDecorator.java,407.434G,85.132M
MeasurementDecorator.java,1.196T,85.132M
MolgenisFileDecorator.java,2.329T,85.132M
MolgenisUserDecorator.java,1.254T,85.132M
NameableDecorator.java,346.706G,85.132M
TaskDecorator.java,746.408G,85.132M
DecoratorItem.java,27.606G,85.132M
DecoratorLabelRenderer.java,1.378T,85.132M
DecoratorLayout.java,1.067T,85.132M
EnrichmentBuilder.java,131.396G,85.132M
SimpleDefaultDecorator.java,3.756T,85.132M
TableDecoratorItem.java,198.750G,85.132M
VehiclePrototype.java,864.552G,85.132M
MappingsMemento.java,1.887T,85.132M
MementoPersistence.java,132.501G,85.132M
Action.java,60.731G,85.132M
Converter.java,78.397G,85.132M
Element1.java,75.085G,85.132M
Element2.java,37.544G,85.132M
Facade.java,213.104G,85.132M
FileManager.java,54.106G,85.132M
HardwarePlayer.java,153.479G,85.132M
Main.java,218.624G,85.132M
MediaPlayer.java,641.514G,85.132M
SongBytes.java,12.148G,85.132M
SongFile.java,12.148G,85.132M
State.java,9.940G,85.132M
Utils.java,44.169G,85.132M
VolFacadeREST.java,880.011G,85.132M
ImmutableExample.java,196.541G,85.132M
Main.java,229.666G,85.132M
Vehicle.java,244.020G,85.132M
Asion.java,174.458G,85.132M
Authentification.java,320.206G,85.132M
BMWSound.java,43.064G,85.132M
Booking.java,333.456G,85.132M
BowAndArrow.java,191.021G,85.132M
Car.java,405.226G,85.132M
Cars.java,98.272G,85.132M
CiscoImpl.java,85.022G,85.132M
CiscoWeatherInfo.java,41.960G,85.132M
Compress.java,281.561G,85.132M
Computers.java,406.330G,85.132M
CreditCard.java,59.627G,85.132M
Databaseselect.java,255.061G,85.132M
Disc.java,192.125G,85.132M
Discount.java,355.539G,85.132M
DlinkImpl.java,86.126G,85.132M
DlinkWeatherFinder.java,39.752G,85.132M
DrawsStrategy.java,235.187G,85.132M
Duck.java,215.312G,85.132M
DynamicPricing.java,331.248G,85.132M
EditingFiles.java,284.873G,85.132M
ExecuteStrategy.java,119.251G,85.132M
Export.java,288.186G,85.132M
Filter.java,301.436G,85.132M
FindPath.java,495.766G,85.132M
Game.java,150.167G,85.132M
GetWeatherServlet.java,276.040G,85.132M
ISound.java,17.669G,85.132M
java.java,375.414G,85.132M
Logging.java,276.040G,85.132M
MainApp.java,142.438G,85.132M
MediaPlayer.java,269.415G,85.132M
MyActions.java,685.680G,85.132M
Myclass.java,690.097G,85.132M
NotifyMe.java,285.978G,85.132M
OCompiler.java,299.227G,85.132M
Pay.java,279.353G,85.132M
PaymentByCreditCard.java,191.021G,85.132M
PaymentByPayPal.java,170.042G,85.132M
PaymentService.java,147.959G,85.132M
PaymentStrategy.java,36.440G,85.132M
Robot.java,321.310G,85.132M
Serialization.java,176.667G,85.132M
Server.java,547.661G,85.132M
Sort.java,273.832G,85.132M
Storage.java,288.186G,85.132M
Strategy.java,19.877G,85.132M
Strategy1.java,450.496G,85.132M
StrategyA.java,65.147G,85.132M
StrategyB.java,60.731G,85.132M
Sword.java,117.043G,85.132M
TestCar.java,442.767G,85.132M
Text.java,162.313G,85.132M
threads.java,465.954G,85.132M
Unique.java,196.541G,85.132M
Weapon.java,26.502G,85.132M
WeatherInfo.java,25.398G,85.132M
1.java,162.313G,85.132M
2.java,606.181G,85.132M
3.java,335.664G,85.132M
A.java,467.058G,85.132M
AA.java,422.892G,85.132M
AB.java,460.433G,85.132M
abstrcatf.java,482.516G,85.132M
Auth.java,305.852G,85.132M
AZE.java,506.808G,85.132M
B.java,374.310G,85.132M
bs.java,437.246G,85.132M
Builderimports.java,192.125G,85.132M
C.java,549.870G,85.132M
CarManualBuilder.java,430.621G,85.132M
Computer.java,192.125G,85.132M
Curr.java,278.248G,85.132M
D.java,619.431G,85.132M
Dialog.java,136.917G,85.132M
E.java,503.495G,85.132M
F.java,443.871G,85.132M
G.java,599.556G,85.132M
H.java,486.933G,85.132M
House.java,406.330G,85.132M
Integration.java,210.895G,85.132M
jjj.java,490.245G,85.132M
K.java,490.245G,85.132M
L.java,425.101G,85.132M
Legacy.java,195.437G,85.132M
Logging.java,221.937G,85.132M
m.java,416.267G,85.132M
Meal.java,338.977G,85.132M
Music.java,291.498G,85.132M
Person.java,274.936G,85.132M
Pizza.java,313.581G,85.132M
q.java,491.350G,85.132M
Read.java,271.624G,85.132M
Rectangle.java,248.436G,85.132M
Square.java,257.270G,85.132M
String.java,347.810G,85.132M
TaskBuilder.java,310.269G,85.132M
Temperature.java,370.997G,85.132M
USB.java,257.270G,85.132M
Visitorr.java,406.330G,85.132M
W.java,570.848G,85.132M
WebServi.java,245.124G,85.132M
X.java,441.663G,85.132M
Z.java,416.267G,85.132M
ZZ.java,608.389G,85.132M
Auth.java,305.852G,85.132M
Curr.java,278.248G,85.132M
Integration.java,210.895G,85.132M
Legacy.java,195.437G,85.132M
Logging.java,221.937G,85.132M
Music.java,291.498G,85.132M
Read.java,271.624G,85.132M
Rectangle.java,248.436G,85.132M
Square.java,257.270G,85.132M
Temperature.java,370.997G,85.132M
USB.java,257.270G,85.132M
WebServi.java,245.124G,85.132M
Memento.java,208.687G,85.132M
XMLMemento.java,3.573T,85.132M
CarroPrototipo.java,115.938G,85.132M
Chat.java,352.227G,85.132M
GUI.java,352.227G,85.132M
Market.java,514.537G,85.132M
Porsche911.java,188.812G,85.132M
Principal.java,206.479G,85.132M
Proto.java,266.103G,85.132M
Stock.java,352.227G,85.132M
Thread.java,489.141G,85.132M
Weather.java,438.350G,85.132M
aa.java,268.311G,85.132M
Livre.java,404.122G,85.132M
More.java,904.302G,85.132M
Test.java,524.474G,85.132M
ResourcePrototypeImpl.java,510.120G,85.132M
DHTRouterObserver.java,131.396G,85.132M
ExternalTextResourcePrototype.java,796.095G,85.132M
ImageResourcePrototype.java,463.746G,85.132M
ResourcePrototype.java,20.981G,85.132M
BasicSingletonBean.java,995.946G,85.132M
SingletonCalculatorClient.java,400.809G,85.132M
SingletonContainer.java,176.667G,85.132M
SingletonContainerBuilder.java,501.287G,85.132M
SingletonContext.java,484.725G,85.132M
SingletonEJBHomeHandler.java,249.541G,85.132M
SingletonEJBObjectHandler.java,462.642G,85.132M
SingletonInstanceManager.java,3.534T,85.132M
ThreadSingletonService.java,98.272G,85.132M
ThreadSingletonServiceImpl.java,3.499T,85.132M
ComercialProxy.java,1.823T,85.132M
ExportacaoProxy.java,473.683G,85.132M
ImportacaoProxy.java,327.935G,85.132M
Visitor.java,44.169G,85.132M
GitFileDecorator.java,3.873T,85.132M
GitSshSessionFactory.java,675.743G,85.132M
OSGiConsoleFactory.java,365.476G,85.132M
ResourceShapeFactory.java,316.894G,85.132M
AbstractPrototypeImpl.java,165.625G,85.132M
BusPrototypeImpl.java,166.729G,85.132M
ComponentPrototype.java,70.668G,85.132M
ComponentPrototypeActual.java,115.938G,85.132M
ComponentPrototypeActualImpl.java,1.970T,85.132M
ComponentPrototypeBinding.java,58.523G,85.132M
ComponentPrototypeImpl.java,1.360T,85.132M
DataPrototypeImpl.java,165.625G,85.132M
DevicePrototypeImpl.java,165.625G,85.132M
FeatureGroupPrototype.java,51.898G,85.132M
FeatureGroupPrototypeActual.java,92.751G,85.132M
FeatureGroupPrototypeActualImpl.java,1.484T,85.132M
FeatureGroupPrototypeBindingImpl.java,1.711T,85.132M
FeatureGroupPrototypeImpl.java,1.096T,85.132M
FeaturePrototype.java,80.606G,85.132M
FeaturePrototypeActual.java,17.669G,85.132M
FeaturePrototypeActualImpl.java,134.709G,85.132M
FeaturePrototypeBinding.java,66.252G,85.132M
FeaturePrototypeImpl.java,1.874T,85.132M
FeaturePrototypeReferenceImpl.java,1.812T,85.132M
MemoryPrototypeImpl.java,165.625G,85.132M
ProcessorPrototypeImpl.java,166.729G,85.132M
ProcessPrototypeImpl.java,165.625G,85.132M
Prototype.java,40.856G,85.132M
PrototypeBinding.java,32.023G,85.132M
PrototypeBindingImpl.java,174.458G,85.132M
PrototypeImpl.java,1.169T,85.132M
SubprogramGroupPrototypeImpl.java,179.979G,85.132M
SubprogramPrototypeImpl.java,172.250G,85.132M
SystemPrototypeImpl.java,165.625G,85.132M
ThreadGroupPrototypeImpl.java,173.354G,85.132M
ThreadPrototypeImpl.java,165.625G,85.132M
VirtualBusPrototypeImpl.java,174.458G,85.132M
VirtualProcessorPrototypeImpl.java,174.458G,85.132M
AbstractListFacade.java,1.153T,85.132M
CampaignInfoFactory.java,58.523G,85.132M
CDOMFactory.java,1.046T,85.132M
CharacterLevelFacadeImpl.java,211.660G,85.132M
CharacterLevelsFacadeImpl.java,6.724T,85.132M
DefaultListFacade.java,1.650T,85.132M
DelegatingListFacade.java,587.411G,85.132M
DescriptionFacadeImpl.java,4.180T,85.132M
DomainFacadeImpl.java,590.978G,85.132M
EquipmentListFacadeImpl.java,1.083T,85.132M
FacadeFactory.java,5.191T,85.132M
GeneralChooserFacadeBase.java,2.226T,85.132M
InfoFactory.java,366.921G,85.132M
KitFacade.java,40.772G,85.132M
LanguageChooserFacade.java,130.463G,85.132M
LanguageChooserFacadeImpl.java,2.405T,85.132M
LanguageFacade.java,38.054G,85.132M
LevelCommandFactory.java,816.735G,85.132M
ListDataAdapter.java,184.821G,85.132M
ListFacade.java,126.386G,85.132M
ListFacades.java,680.839G,85.132M
LoadableFacade.java,106.002G,85.132M
ManufacturableFactory.java,182.103G,85.132M
ModifyChoiceDecorator.java,653.660G,85.132M
PartyFacade.java,130.463G,85.132M
PartyFacadeImpl.java,611.533G,85.132M
PersistenceObserver.java,1.470T,85.132M
PopupMouseAdapter.java,207.923G,85.132M
QualifiedDecorator.java,591.148G,85.132M
RaceFacade.java,138.617G,85.132M
ReferenceFacade.java,88.335G,85.132M
ShowMessageConsoleObserver.java,235.102G,85.132M
ShowMessageGuiObserver.java,502.816G,85.132M
SimpleFacadeImpl.java,110.078G,85.132M
SizeFacade.java,24.464G,85.132M
SkillFacade.java,48.926G,85.132M
SortedListFacade.java,1.356T,85.132M
SourceSelectionFacade.java,130.463G,85.132M
SpellFacade.java,91.053G,85.132M
SpellFacadeImplem.java,2.210T,85.132M
SpellSupportFacade.java,748.787G,85.132M
StatFacade.java,51.983G,85.132M
TempBonusFacade.java,43.320G,85.132M
TemplateFacade.java,36.101G,85.132M
TermEvaluatorBuilder.java,232.469G,85.132M
TermEvaluatorBuilderEQVar.java,2.606T,85.132M
TermEvaluatorBuilderPCStat.java,620.876G,85.132M
TodoFacade.java,114.665G,85.132M
TodoFacadeImpl.java,846.972G,85.132M
TreeTableModelAdapter.java,247.673G,85.132M
UIDelegate.java,353.162G,85.132M
XPTableFacade.java,79.502G,85.132M
ATermBaseVisitor.java,1.330T,85.132M
ATermVisitor.java,406.671G,85.132M
AtomObjectVisitor.java,85.618G,85.132M
DefaultAtomObjectVisitor.java,117.723G,85.132M
DefaultRuleAtomVisitor.java,191.107G,85.132M
ELTaxonomyBuilder.java,1.478T,85.132M
EntailmentQueryVisitor.java,2.258T,85.132M
FSMBuilder.java,3.417T,85.132M
FunctionApplicationVisitor.java,551.909G,85.132M
GenericTaxonomyBuilder.java,1.442T,85.132M
NumberToLiteralVisitor.java,642.110G,85.132M
NumericComparisonVisitor.java,412.786G,85.132M
NumericVisitor.java,102.435G,85.132M
OntBuilder.java,8.580T,85.132M
RuleAtomVisitor.java,150.083G,85.132M
Cdk5Factory.java,187.200G,85.132M
Cdk5FactoryImpl.java,1.152T,85.132M
Filetransfer2xFactory.java,200.110G,85.132M
Filetransfer2xFactoryImpl.java,1.748T,85.132M
Filetransfer3Factory.java,196.882G,85.132M
Filetransfer3FactoryImpl.java,942.439G,85.132M
JbiFactory.java,314.687G,85.132M
JbiFactoryImpl.java,3.783T,85.132M
JmsFactory.java,145.242G,85.132M
JmsFactoryImpl.java,760.084G,85.132M
MailFactory.java,140.401G,85.132M
MailFactoryImpl.java,1.494T,85.132M
Cdk5Factory.java,187.200G,85.132M
Cdk5FactoryImpl.java,1.152T,85.132M
Filetransfer2xFactory.java,200.110G,85.132M
Filetransfer2xFactoryImpl.java,1.748T,85.132M
Filetransfer3Factory.java,196.882G,85.132M
Filetransfer3FactoryImpl.java,942.439G,85.132M
JbiFactory.java,314.687G,85.132M
JbiFactoryImpl.java,3.783T,85.132M
JmsFactory.java,145.242G,85.132M
JmsFactoryImpl.java,760.084G,85.132M
MailFactory.java,140.401G,85.132M
MailFactoryImpl.java,1.494T,85.132M
ConfigurationSingleton.java,158.152G,85.132M
AbstractPDPProxy.java,422.808G,85.132M
AbstractSynapseObserver.java,1.554T,85.132M
ActivityMediationStatisticsObserver.java,538.999G,85.132M
Axis2ConfigurationContextObserverImpl.java,734.264G,85.132M
BAMMediationStatisticsObserver.java,2.287T,85.132M
CassandraAxis2ConfigurationContextObserver.java,275.956G,85.132M
ConfigurationContextObserverImpl.java,1.022T,85.132M
CSGAgentObserver.java,56.485G,85.132M
CSGAgentObserverImpl.java,677.782G,85.132M
CSGServiceObserver.java,1.102T,85.132M
DeploymentSyncAxis2ConfigurationContextObserver.java,622.915G,85.132M
DiscoveryAxis2ConfigurationContextObserver.java,651.962G,85.132M
DiscoveryProxyObserver.java,1.504T,85.132M
DSAxis2ConfigurationContextObserver.java,408.285G,85.132M
EventAxis2ConfigurationContextObserver.java,706.830G,85.132M
HiveAxis2ConfigObserver.java,1.444T,85.132M
JAXWSAxis2ConfigurationObserver.java,440.560G,85.132M
JMXObserver.java,1.957T,85.132M
MediationStatisticsObserver.java,72.623G,85.132M
MediationStatsAxis2ConfigurationContextObserver.java,681.010G,85.132M
MessageStoreObserver.java,51.644G,85.132M
Observers.java,369.554G,85.132M
PaypalNVPProxy.java,1.013T,85.132M
PaypalSOAPProxy.java,911.777G,85.132M
PDPProxy.java,4.646T,85.132M
PersistingStatisticsObserver.java,1.635T,85.132M
ProxyServiceParameterObserver.java,614.846G,85.132M
RestAPIObserver.java,174.290G,85.132M
RSSManagerAxis2ConfigContextObserver.java,835.931G,85.132M
SalesforceProxy.java,1.005T,85.132M
SalesforceProxyImpl.java,10.735T,85.132M
SecurityAxis2ConfigurationContextObserver.java,427.650G,85.132M
ServiceStatisticsAxis2ConfigurationContextObserver.java,663.258G,85.132M
StatisticsAxis2ConfigurationContextObserver.java,630.983G,85.132M
STSObserver.java,884.343G,85.132M
SynapseObserver.java,453.470G,85.132M
TargetServiceObserver.java,1.599T,85.132M
TaskAxis2ConfigurationContextObserver.java,527.703G,85.132M
ThrottlingAxis2ConfigurationContextObserver.java,450.242G,85.132M
TransactionManagerAxis2ConfigurationContextObserver.java,227.544G,85.132M
AnimatorListenerAdapter.java,230.771G,85.132M
Singleton.java,183.972G,85.132M
SyncStatusObserver.java,35.506G,85.132M
CursorProxy.java,2.632T,85.132M
FactorySingleton.java,1.094T,85.132M
IterableProxy.java,622.915G,85.132M
IterLogProxy.java,1.197T,85.132M
IterProxy.java,309.845G,85.132M
ListProxy.java,2.742T,85.132M
NoSqlProxy.java,88.760G,85.132M
NoSqlProxyImpl.java,2.316T,85.132M
FacadeSector.java,895.640G,85.132M
Memento.java,211.406G,85.132M
MementoManagerCommand.java,621.301G,85.132M
MementoTransaction.java,316.300G,85.132M
BaseDataPrototype.java,2.456T,85.132M
GridPrototype.java,193.655G,85.132M
AccessControl.java,287.253G,85.132M
AccessControlProvider.java,405.057G,85.132M
ImmutableExample.java,287.253G,85.132M
IntelligentStudent.java,380.851G,85.132M
Main.java,335.665G,85.132M
Prototype.java,38.734G,85.132M
Student.java,435.719G,85.132M
StudentRegistry.java,167.835G,85.132M
TestPrototypePattern.java,453.470G,85.132M
User.java,832.703G,85.132M
Vehicle.java,356.644G,85.132M
Livre.java,321.142G,85.132M
amp.java,472.835G,85.132M
BuilderProxy.java,472.835G,85.132M
BuilderProxyClient.java,1.451T,85.132M
BuildersProxy.java,472.835G,85.132M
Copie.java,338.893G,85.132M
CoreP.java,1.046T,85.132M
CoreProxy.java,1.046T,85.132M
CoreProxyClient.java,2.272T,85.132M
EnergyProxy.java,485.745G,85.132M
EnergyProxyC.java,201.724G,85.132M
EnergyProxyClient.java,201.724G,85.132M
FactoryProxy.java,295.322G,85.132M
FactoryProxyClient.java,1.012T,85.132M
SiliconProxy.java,200.110G,85.132M
SiliconProxyClient.java,338.893G,85.132M
Transport.java,708.444G,85.132M
TransportProxy.java,708.444G,85.132M
TransportProxyClient.java,538.999G,85.132M
xttt.java,1.451T,85.132M
DialogMemento.java,1.249T,85.132M
EmSingleton.java,348.576G,85.132M
SoloSingleton.java,233.999G,85.132M
Memento.java,777.835G,85.132M
PrototypeRequest.java,916.619G,85.132M
PrototypeWrapper.java,1.023T,85.132M
MMacroCreatorPrototype.java,829.476G,85.132M
MParamPrototype.java,497.041G,85.132M
MParamRefPrototype.java,505.110G,85.132M
BSeriesKeyCodeSenderFactory.java,356.644G,85.132M
CSeriesKeyCodeSenderFactory.java,1.020T,85.132M
SenderFactory.java,403.443G,85.132M
ElementProxy.java,4.448T,85.132M
SecurityTokenFactory.java,672.941G,85.132M
