filename,FLOPs,Unit
BuilderProxyClient.java,76.356G,85.132M
BuildersProxy.java,24.886G,85.132M
Copie.java,17.836G,85.132M
CoreP.java,55.038G,85.132M
CoreProxy.java,55.038G,85.132M
CoreProxyClient.java,119.588G,85.132M
EnergyProxy.java,25.566G,85.132M
EnergyProxyC.java,10.617G,85.132M
EnergyProxyClient.java,10.617G,85.132M
FactoryProxy.java,15.543G,85.132M
FactoryProxyClient.java,53.254G,85.132M
SiliconProxy.java,10.532G,85.132M
SiliconProxyClient.java,17.836G,85.132M
Transport.java,37.287G,85.132M
TransportProxy.java,37.287G,85.132M
TransportProxyClient.java,28.368G,85.132M
xttt.java,76.356G,85.132M
BuilderPattern.java,33.040G,85.132M
User.java,29.982G,85.132M
SimpleXmlMemento.java,128.252G,85.132M
PrototypeBrickAdapter.java,17.497G,85.132M
DefaultWidgetFactory.java,56.906G,85.132M
SingletonFaultFactory.java,27.689G,85.132M
TextPaneViewFactory.java,11.551G,85.132M
WidgetFactory.java,13.505G,85.132M
BreakpointAdapterFactory.java,15.968G,85.132M
ClojureBuilder.java,146.173G,85.132M
ClojureCore.java,464.508G,85.132M
ClojureLineBreakpointAdapter.java,124.599G,85.132M
ClojureVisitor.java,129.186G,85.132M
LeiningenBuilder.java,52.830G,85.132M
ELVisitor.java,300.329G,85.132M
EmptyAnnotationValueVisitor.java,79.244G,85.132M
LibraryCompilerWrapper.java,20.300G,85.132M
RendererAdapter.java,8.494G,85.132M
RendererClassVisitor.java,532.456G,85.132M
SimpleVisitor.java,38.645G,85.132M
TagHandlerGeneratorVisitor.java,35.928G,85.132M
TaglibGeneratorVisitor.java,187.876G,85.132M
TemplateVisitor.java,44.931G,85.132M
Visitor.java,17.072G,85.132M
AbstractCExtensionProxy.java,104.215G,85.132M
ACBuilder.java,270.347G,85.132M
AsmModelBuilder.java,300.074G,85.132M
ASTCommenterVisitor.java,148.891G,85.132M
ASTGenericVisitor.java,122.306G,85.132M
AutoconfPrototype.java,44.166G,85.132M
AutotoolsConfigurationBuilder.java,149.655G,85.132M
BasicSelectionTransferDragAdapter.java,36.437G,85.132M
BinaryObjectAdapter.java,82.642G,85.132M
BreakpointVMModelProxyStrategy.java,40.089G,85.132M
BuildConsoleStreamDecorator.java,18.091G,85.132M
CDataProxy.java,81.962G,85.132M
CDataProxyContainer.java,52.405G,85.132M
CDTViewerDragAdapter.java,18.261G,85.132M
CDTViewerDropAdapter.java,112.114G,85.132M
CEditorTextHoverProxy.java,66.249G,85.132M
CElementDecorator.java,10.107G,85.132M
CElementDeltaBuilder.java,234.590G,85.132M
CfgProxyCache.java,73.554G,85.132M
ChangeGeneratorWriterVisitor.java,326.744G,85.132M
CNavigatorProblemsLabelDecorator.java,25.481G,85.132M
CodanBuilder.java,161.037G,85.132M
CodeReaderAdapter.java,85.105G,85.132M
ControlFlowGraphBuilder.java,1.681T,85.132M
CPPASTAllVisitor.java,254.040G,85.132M
CStructureCreatorVisitor.java,1.364T,85.132M
CWorkbenchAdapter.java,175.646G,85.132M
DefaultVMModelProxyStrategy.java,1.950T,85.132M
DeferredCWorkbenchAdapter.java,99.544G,85.132M
DelegatingDragAdapter.java,264.657G,85.132M
DelegatingDropAdapter.java,444.039G,85.132M
DocumentAdapter.java,1.267T,85.132M
ExcludedFileDecorator.java,234.420G,85.132M
ExpressionVMProviderModelProxyStrategy.java,577.556G,85.132M
ExternalEditorInputFactory.java,204.863G,85.132M
FunctionPrototypeSummary.java,226.267G,85.132M
ICElementVisitor.java,18.347G,85.132M
ICPPASTVisitor.java,50.622G,85.132M
IListAdapter.java,20.725G,85.132M
IModelVisitor.java,28.539G,85.132M
IncludeFolderDecorator.java,184.479G,85.132M
IncludeReferenceProxy.java,157.300G,85.132M
IndexerASTVisitor.java,869.732G,85.132M
IndexerInputAdapter.java,99.204G,85.132M
IPathSettingsContainerVisitor.java,8.155G,85.132M
LocationAdapter.java,197.729G,85.132M
ModulesViewModelProxy.java,64.891G,85.132M
MultiBuildConsoleAdapter.java,248.350G,85.132M
PathEntryStoreProxy.java,416.860G,85.132M
PDOMASTAdapter.java,2.090T,85.132M
PDOMProxy.java,1.011T,85.132M
ProblemsLabelDecorator.java,920.353G,85.132M
ProcessWrapper.java,137.595G,85.132M
ProjectIndexerInputAdapter.java,1.101T,85.132M
ReferenceVisitor.java,169.870G,85.132M
SignalsViewModelProxy.java,56.397G,85.132M
TextViewerDragAdapter.java,529.314G,85.132M
UpdatePolicyDecorator.java,57.417G,85.132M
WorkbenchRunnableAdapter.java,267.035G,85.132M
ConfigFileDecorator.java,281.984G,85.132M
ImageDecorator.java,82.218G,85.132M
URLDecorator.java,260.920G,85.132M
URLDecoratorDescriptor.java,77.461G,85.132M
URLDecoratorImageDescriptor.java,90.032G,85.132M
URLDecoratorManager.java,130.800G,85.132M
AssertionFailedException.java,32.276G,85.132M
BestResponseTimeBalanceStrategy.java,220.831G,85.132M
Blob.java,583.332G,85.132M
BlobFromLocator.java,1.596T,85.132M
CachedResultSetMetaData.java,50.962G,85.132M
Clob.java,1.018T,85.132M
CommunicationsException.java,189.066G,85.132M
CompressedInputStream.java,913.219G,85.132M
ConnectionFeatureNotAvailableException.java,63.193G,85.132M
ConnectionGroup.java,835.758G,85.132M
ConnectionGroupManager.java,838.306G,85.132M
ConnectionImpl.java,838.306G,85.132M
ConnectionProperties.java,2.461T,85.132M
ConnectionPropertiesTransform.java,24.378G,85.132M
DocsConnectionPropsHelper.java,42.809G,85.132M
EscapeProcessor.java,4.213T,85.132M
ExportControlled.java,1.802T,85.132M
ExtendedMysqlExceptionSorter.java,87.909G,85.132M
FailoverConnectionProxy.java,1.124T,85.132M
Field.java,5.442T,85.132M
IterateBlock.java,259.137G,85.132M
JDBC4MysqlPooledConnection.java,259.137G,85.132M
JDBC4MysqlXAConnection.java,271.368G,85.132M
JDBC4SuspendableXAConnection.java,267.546G,85.132M
MysqlConnectionPoolDataSource.java,180.913G,85.132M
